Species,Climate,Plot,Mesocosm,Moisture,GWC,SLA,LDMC,Species_biomass,Com_biomass,Other_biomass,Proportion,Richness_Bac_Root,Richness_Bac_Rhizo,Richness_Fun_Leaf,Richness_Fun_Root,Richness_Fun_Rhizo,PC1_Bac_Root,PC1_Bac_Rhizo,PC1_Fun_Leaf,PC1_Fun_Root,PC1_Fun_Rhizo,PC2_Bac_Root,PC2_Bac_Rhizo,PC2_Fun_Leaf,PC2_Fun_Root,PC2_Fun_Rhizo
Lolium,Current,B,19,400,8.414476414,26.286,193.9736347,68.03239437,266.749,198.7166056,25.5042734,472,418,3,55,85,0.130605573,0.16617736,-0.257478113,-0.190876821,-0.126126416,0.004347855,-0.056344017,-0.004611246,-0.128122633,0.106933758
Lolium,Current,B,21,1300,11.25777605,26.519,181.4345992,74.38591549,352.518,278.1320845,21.1013099,407,534,1,103,158,0.133150558,0.460463887,-0.451775958,-0.29048809,-0.31642428,-0.063882325,-0.074488151,-0.053740262,0.031439233,-0.0492815
Lolium,Current,B,23,1000,9.438405416,24.321,207.2617247,70.17605634,297.185,227.0089437,23.613593,534,583,2,78,157,-0.034007809,-0.169866385,-0.230749585,-0.288160584,-0.151006423,0.183066814,-0.12517256,0.012613044,-0.144619892,0.014117329
Lolium,Future,C,26,900,9.317005933,13.043,145.5696203,28.82394366,342.792,313.9680563,8.4085812,459,538,3,56,187,0.158839824,-0.136174415,-0.428237948,-0.20955841,-0.324380068,0.107920245,0.368866877,-0.018819806,-0.143164558,-0.178836257
Lolium,Future,C,28,1200,11.69067475,22.43,211.2299465,44.75915493,281.77,237.0108451,15.8849966,264,481,2,39,148,-0.302430739,-0.535534791,-0.441417736,-0.413990427,-0.195888627,0.124711226,-0.168410917,-0.025050684,0.09960689,-0.05649692
Lolium,Future,C,30,1500,11.4048657,12.542,341.6370107,93.6,314.913,221.313,29.7224948,359,657,1,46,157,-0.393557296,-0.478153387,0.214456242,0.293735746,-0.414600545,-0.191088798,-0.117653305,0.280596984,-0.004241432,-0.118708595
Lolium,Future,C,31,0,7.638292309,25.182,191.461837,11.08309859,195.151,184.0679014,5.6792425,146,191,1,83,114,0.364021749,0.385749207,-0.436479719,-0.234775858,-0.292178609,0.023760013,0.065548616,-0.029232009,-0.004103084,-0.171515665
Lolium,Future,C,33,300,8.430723502,22.188,211.4485981,54.18309859,210.522,156.3389014,25.7374994,376,473,3,67,124,0.272419647,0.219329634,-0.127545161,-0.264882206,-0.231662943,0.091227611,-0.004227264,0.112803584,-0.432712087,-0.505717509
Lolium,Future,C,35,600,10.05391196,29.854,203.4739454,40.54084507,297.9,257.3591549,13.6088772,314,284,3,76,149,-0.410316264,-0.542380734,-0.397613275,-0.323509903,-0.26128327,-0.153481024,-0.199019799,-0.03338946,-0.151504694,-0.103690734
Lolium,Current,D,37,900,8.583899127,24.164,209.9236641,158.2859155,315.012,156.7260845,50.2475828,271,383,3,69,109,-0.219497842,-0.127936783,-0.140781568,0.157686939,-0.311388022,0.206436326,0.527476068,0.008017227,0.122195617,0.246038413
Lolium,Current,D,39,1200,8.280185534,23.452,169.3989071,68.12535211,276.809,208.6836479,24.6109599,558,687,1,61,123,-0.086846723,-0.15984779,0.236049523,-0.251195062,-0.293739653,0.164640375,0.390495846,0.841113805,-0.116174568,-0.043491552
Lolium,Current,D,41,1500,11.75979304,28.524,188.5057471,68.37042254,518.855,450.4845775,13.1771733,651,789,3,92,151,0.451916931,0.445199006,-0.397654802,-0.15885999,-0.012641713,-0.240029445,-0.07799915,0.010200154,-0.091450224,-0.036310401
Lolium,Current,D,44,0,7.174925175,21.698,250.4201681,26.82253521,162.204,135.3814648,16.536297,339,305,5,88,194,-0.190884643,-0.256247144,-0.271842149,-0.41873438,-0.330091371,-0.219403544,0.033732766,0.027183373,-0.075319112,-0.068066892
Lolium,Current,D,46,300,20.60101642,27.19,191.1262799,106.9633803,390.71,283.7466197,27.3766682,269,430,1,60,197,-0.089543774,-0.123124188,0.207655301,-0.320431792,-0.022068783,0.069808928,-0.111864036,0.313681267,-0.233873567,-0.142429223
Lolium,Current,D,48,600,11.55219601,15.209,252.446184,51.4915493,200.148,148.6564507,25.7267369,284,286,5,81,165,0.120319164,-0.006410473,-0.306534572,-0.084071977,-0.193508748,0.131133459,-0.049294728,0.012385579,0.196712812,0.173822204
Festuca,Future,A,2,700,7.025081906,50.667,125,0.487323944,270.349,269.8616761,0.1802574,524,527,3,89,86,-0.406474622,-0.168145509,0.27088437,0.385278217,0.107397266,0.365851238,0.00096307,-0.440839917,0.214316311,0.139615034
Festuca,Future,A,4,1600,11.53846154,17.5,203.3898305,0.184425352,385.176,384.9915746,0.0478808,685,764,3,108,157,0.064311538,0.135662301,0.273441529,0.090087281,0.324977328,-0.236305027,-0.193382671,-0.897034348,-0.187844828,0.006884761
Festuca,Future,A,6,0,8.468854123,17.667,303.030303,0.908450704,166.941,166.0325493,0.5441747,615,803,3,64,94,-0.062282274,-0.09812664,0.264710117,0.178337295,0.063358397,0.07786506,-0.006051082,-0.645909312,-0.181767845,0.147971634
Festuca,Future,A,7,400,7.855652387,17.5,406.779661,0.164053521,234.101,233.9369465,0.0700781,677,784,5,65,112,-0.388251275,-0.464008741,0.286376776,0.53111594,0.282750912,-0.232255568,-0.277847138,-0.784704214,0.280751099,0.166600511
Festuca,Future,A,9,1300,11.77822905,28.667,236.8421053,5.633802817,361.864,356.2301972,1.556884,522,829,4,26,123,-0.099565449,-0.438109783,0.283565195,0.37566647,0.038840005,-0.036478987,-0.246426082,-0.694228346,-0.209470839,0.127982949
Festuca,Future,A,11,1000,8.066911251,45.714,280,0.635211268,387.077,386.4417887,0.1641046,554,778,5,57,103,-0.316178986,0.131183095,0.233135957,0.412122951,0.661871882,-0.103380383,-0.270239506,-0.105668624,0.828618123,0.855769965
Festuca,Current,B,13,700,9.796478304,32.9,175.4385965,2.181690141,266.99,264.8083099,0.817143,516,630,7,94,202,-0.144458178,-0.11581483,0.288065394,0.091040444,0.159214268,0.103008555,0.039334478,0.062419097,0.060589225,-0.172707133
Festuca,Current,B,15,1600,14.84019674,17.907,325.7575758,31.13802817,376.41,345.2719718,8.2723701,478,646,7,67,157,0.431303808,0.03627587,0.272776458,0.078470984,0.332907291,-0.392752419,-0.378154602,-0.699185139,-0.448504581,-0.430709495
Festuca,Current,B,17,0,8.008504607,21.143,358.974359,2.101408451,236.039,233.9375915,0.8902802,508,568,3,68,111,-0.337038521,-0.219503003,0.21555918,0.008631258,0.032965104,0.200974908,-0.083612983,-0.086764896,-0.094557176,0.010615395
Festuca,Current,B,20,400,7.119490739,31.2,232.5581395,2.163380282,233.438,231.2746197,0.9267473,398,510,3,68,113,-0.006100737,0.2631043,0.236400243,0.146934102,0.018575487,-0.142252678,-0.063298586,0.090300022,-0.066931871,-0.089766497
Festuca,Current,B,22,1300,22.93982783,32.667,192.3076923,16.89577465,319.86,302.9642254,5.2822406,790,929,1,52,113,-0.033474095,0.126235344,0.218338133,0.036998318,0.294166205,-0.095531613,-0.248749427,0.03635157,-0.044322528,-0.070936854
Festuca,Current,B,24,1000,22.8444974,54.286,184.2105263,2.687323944,355.445,352.7576761,0.7560449,523,517,3,62,132,0.202698608,0.279217102,0.270121909,-0.067286673,0.084451316,-0.086353547,-0.086288247,-0.072510706,-0.254408241,0.037839243
Festuca,Future,C,25,900,12.05030961,32.4,294.1176471,0.894366197,295.116,294.2216338,0.3030558,637,784,2,67,126,0.171410017,0.164884423,0.204644334,0.396054716,0.220241208,0.195965654,-0.221608381,0.057908363,-0.241874859,-0.236362825
Festuca,Future,C,27,1200,16.1399646,49.636,275,3.997183099,378.807,374.8098169,1.0552031,631,767,6,94,175,0.239553742,0.323054524,0.242873762,0.339249187,0.226786809,-0.102933353,-0.176209737,0.038481507,-0.351608974,-0.338015705
Festuca,Future,C,29,1500,20.00490316,33.268,201.9704433,1.942253521,310.788,308.8457465,0.6249448,556,516,7,100,179,-0.163803241,-0.103896321,0.253224337,0.220008133,0.17958673,-0.154071691,-0.192691894,0.00802926,-0.244055986,-0.234297073
Festuca,Future,C,32,0,6.075412762,25,285.7142857,0.318309859,228.832,228.5136901,0.139102,444,566,5,66,119,0.462906638,0.342850021,0.257341812,-0.062027342,0.040245045,-0.03078776,-0.049379534,0.037975796,-0.280205563,-0.404851789
Festuca,Future,C,34,300,9.730542183,21.429,247.0588235,0.092957747,171.146,171.0530423,0.0543149,447,664,3,56,94,0.238064238,0.129115151,0.236611108,0.296651058,1.58E-05,0.402829592,-0.077488821,0.096011832,-0.232711867,-0.104208657
Festuca,Future,C,36,600,11.20004467,15.635,289.0625,1.401408451,240.327,238.9255915,0.5831257,454,634,3,79,106,0.469206889,0.423636446,0.222756593,0.379412255,0.40964878,-0.162984223,-0.086852091,0.042245319,0.002724627,-0.065261536
Festuca,Current,D,38,900,8.64749066,26.414,239.6694215,2.484507042,316.036,313.551493,0.7861468,617,679,6,75,150,-0.280230799,-0.223501712,0.224888681,0.168908671,0.046894671,0.51545736,0.160645003,0.047994546,-0.237193092,-0.101790831
Festuca,Current,D,40,1200,16.4291337,35,244.4444444,30.50704225,379.819,349.3119578,8.0319948,718,748,1,40,70,-0.504751909,-0.530201432,0.215487573,0.385988998,0.440082423,-0.396634289,-0.255401301,0.070780868,-0.229412316,-0.278797416
Festuca,Current,D,42,1500,14.2653867,19.718,309.0909091,8.883098592,320.334,311.4509014,2.7730739,774,960,6,107,164,-0.082470394,-0.207259381,0.269537403,0.520053384,0.345437759,0.265747943,-0.235869092,0.01485681,-0.130339435,-0.171231325
Festuca,Current,D,43,0,9.670848949,23.467,277.7777778,6.716901408,147.705,140.9880986,4.5475112,463,533,5,84,92,-0.070877886,0.306299555,0.270702562,0.001301746,0.604300498,0.273782225,0.038571755,0.07739438,-0.235337536,0.098088342
Festuca,Current,D,45,300,7.840698598,18.929,285.7142857,7.045070423,294.466,287.4209296,2.3924903,412,406,5,74,128,-0.264636913,-0.252126995,0.288680746,-0.291380357,-0.135502401,0.289209872,0.705269117,0.041547398,-0.029127583,0.183524272
Festuca,Current,D,47,600,9.611113439,36.128,246.0732984,6.783098592,305.922,299.1389014,2.2172641,294,266,7,82,129,-0.321998989,-0.322542941,0.258345551,0.5081112,0.173207202,-0.118560365,-0.25250413,0.002841992,0.118012353,-0.180954762
Lolium,Future,A,1,700,7.849728307,26.466,256.4102564,85.08873239,210.705,125.6162676,40.3828729,556,551,3,63,86,-0.050752687,0.240199433,-0.427524414,-0.152054328,-0.144975044,-0.146122414,0.174481054,-0.001973589,0.474190443,0.417509098
Lolium,Future,A,3,1600,9.530503233,35.31,159.0909091,26.61971831,537.079,510.4592817,4.9563879,771,797,1,52,96,0.071569955,0.096608047,-0.447126925,-0.265533806,-0.019029362,0.111737394,0.44023471,-0.006056381,0.462032694,0.681452045
Lolium,Future,A,5,0,7.074982364,25.066,211.5384615,39.35915493,214.226,174.8668451,18.3727255,454,488,3,62,138,0.499823946,0.412473303,0.223993078,-0.573824659,-0.259263708,-0.316670362,-0.011391927,0.806771369,0.206341253,0.060774846
