,A02D1S,A02D2S,A04D1S,A04D2S,A06D1S,A06D2S,A07D1S,A07D2S,A09D1S,A09D2S,A11D1S,A11D2S,B13D1S,B13D2S,B15D1S,B15D2S,B17D1S,B17D2S,B20D1S,B20D2S,B22D1S,B22D2S,B24D1S,B24D2S,C25D1S,C25D2S,C27D1S,C27D2S,C29D1S,C29D2S,C32D1S,C32D2S,C34D1S,C34D2S,C36D1S,C36D2S,D38D1S,D38D2S,D40D1S,D40D2S,D42D1S,D42D2S,D43D1S,D43D2S,D45D1S,D45D2S,D47D1S,D47D2S,A01W1S,A01W2S,A03W1S,A03W2S,A05W1S,A05W2S,A08W1S,A08W2S,A10W1S,A10W2S,A12W1S,A12W2S,B14W1S,B14W2S,B16W1S,B16W2S,B18W1S,B18W2S,B19W1S,B19W2S,B21W1S,B21W2S,B23W1S,B23W2S,C26W1S,C26W2S,C28W1S,C28W2S,C30W1S,C30W2S,C31W1S,C31W2S,C33W1S,C33W2S,C35W1S,C35W2S,D37W1S,D37W2S,D39W1S,D39W2S,D41W1S,D41W2S,D44W1S,D44W2S,D46W1S,D46W2S,D48W1S,D48W2S
d9918b2b06a796d10c9ceae1a82042fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,16,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18d049eda5d9cc57f912448be1fa8e17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67d393b76f1b06be749a28d5aeaf5e65,0,0,0,0,0,0,24,0,20,0,0,0,9,0,0,0,11,0,12,0,0,0,0,10,14,10,0,0,0,8,0,19,13,0,13,0,28,0,6,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,5,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,13,0,0
039c1bcd9d9a170ffb89ac2a250accd4,0,51,0,0,0,45,0,54,9,68,0,17,0,0,67,0,0,0,0,0,0,0,39,0,26,0,0,0,24,29,0,0,0,0,26,0,0,24,71,61,0,18,0,0,0,0,29,50,68,0,59,0,31,0,0,0,0,0,0,0,0,55,0,0,20,0,0,0,0,18,0,0,0,44,37,0,45,0,0,51,0,61,25,46,0,0,56,0,0,0,51,0,0,0,0,21
8e253d9dff8b1ddc3b562aa0d75e8e81,0,0,0,0,0,28,0,0,38,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,31,0,0,0,0,0,0,29,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,52,0,0
ad20fd801e6caea80f9cd6a60bd6412f,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd7d6b208eff1e38d8dce1c05470535c,0,44,0,42,52,61,24,32,29,23,42,77,51,28,38,59,0,53,29,35,27,82,0,50,34,46,25,31,0,17,22,13,64,25,28,29,25,0,29,17,0,0,0,17,0,0,16,0,0,9,0,23,0,22,0,23,32,44,0,18,0,20,0,18,39,0,28,0,50,72,0,0,0,35,0,23,0,0,8,24,17,0,0,0,0,0,0,0,34,12,0,0,0,42,0,37
98bbe493d43bb48592828091e0280d6d,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ab257fc1fab597792d352bbc549a413,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5999f82c5484116f536c2fc38d31c3a4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,71,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
