,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
C28W1L,-0.441417736,-0.025050684,-0.013985853,-0.025349199,-0.01244812,0.007066121,Future,Lolium,1200,M5
C28W2L,-0.428243533,-0.004376397,0.01206818,0.009972693,-0.022739399,0.013137499,Future,Lolium,1200,M5
C30W1L,0.214456242,0.280596984,0.089492328,1.399023516,-0.171775687,0.064819664,Future,Lolium,1500,M6
C30W2L,-0.397583818,-0.044026245,-0.022792829,-0.043909594,-0.012090488,0.001407499,Future,Lolium,1500,M6
C31W1L,-0.436479719,-0.029232009,-0.005422472,-0.0411358,-0.019852529,0.002390674,Future,Lolium,0,M1
C31W2L,-0.435509142,-0.02607604,-0.002981911,-0.04371696,-0.023145582,0.004032428,Future,Lolium,0,M1
C33W1L,-0.127545161,0.112803584,0.085871098,0.02172052,0.108273347,-0.026831835,Future,Lolium,300,M2
C33W2L,-0.367181496,-0.038038778,-0.020935531,0.013870146,-0.007536972,0.003313788,Future,Lolium,300,M2
C35W1L,-0.397613275,-0.03338946,-0.016123355,0.019770152,-0.014821117,0.004025291,Future,Lolium,600,M3
C35W2L,0.173257275,0.081660712,0.007560767,0.064572494,0.108390073,0.007488605,Future,Lolium,600,M3
D37W1L,-0.140781568,0.008017227,-0.004069286,0.035847909,0.018076277,0.002452908,Current,Lolium,900,M4
D37W2L,-0.150452166,0.024508065,0.013501826,0.02880087,0.108221411,-0.037630339,Current,Lolium,900,M4
D39W1L,0.236049523,0.841113805,0.746778437,-0.37161034,-0.004338406,0.031912821,Current,Lolium,1200,M5
D39W2L,-0.447898315,-0.035700959,-0.02002022,-0.034120628,-0.011306596,0.005454599,Current,Lolium,1200,M5
D41W1L,-0.397654802,0.010200154,0.014948325,-0.005662693,0.013422006,-0.016944832,Current,Lolium,1500,M6
D41W2L,-0.431856766,-0.022363312,-0.02070784,-0.016748841,-0.020960325,0.004518608,Current,Lolium,1500,M6
D44W1L,-0.271842149,0.027183373,-0.028474787,0.02169044,0.02746136,0.0295996,Current,Lolium,0,M1
D44W2L,-0.337526716,-0.003163716,-0.016519683,-0.016435371,0.020876189,0.015827025,Current,Lolium,0,M1
D46W1L,0.207655301,0.313681267,0.08596319,1.321151384,-0.3225616,0.03011994,Current,Lolium,300,M2
D46W2L,-0.418648661,-0.005420121,-0.00437999,-0.039009705,-0.107188711,-0.012059963,Current,Lolium,300,M2
D48W1L,-0.306534572,0.012385579,-0.007968127,0.012614312,-0.018772874,-0.03438692,Current,Lolium,600,M3
D48W2L,-0.365961083,0.012445764,0.016783092,-0.031492142,-0.005608313,-0.020868907,Current,Lolium,600,M3
