ASV ID,kingdom,phylum,class,order,family,genus,species
2e024a33e371fbe6e0a061030c90dda9,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,Unassigned
ce517a2983fd7c3a7f00897fe68491b8,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned
a70fb0db0ec261154faa5a08a410aec5,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,Unassigned
492c9d99645d6866290affabd62e6c23,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
1f4a70204fc10c64d3b64830cac2e3bc,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured_Sphingobacteriales
ebef2dbe6943959d6281196e45e5fccb,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Unassigned
bde1f156d6b6b9eb4238cfab6b76501f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,uncultured,Unassigned
a5bfffdddd19da5703f1f49255a5234c,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Unassigned
259d0fcf9e77e3e6a2aa23a6bf41f61f,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,bacterium_Ellin5111
e23cde569ef851138a6364aa8956c1b3,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured,Unassigned
c936b329329c366ad6997e48c8a51b50,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Unassigned
36465cc3efecb0c2c7841e51d59ba66b,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Unassigned
5dee1a4fdf43d9ed8ab1038963435af2,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_bacterium
a8ce091dccdec3fa1ea29efa7ceaa3ff,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unassigned
3cbb35bbce6f506113e5bd7e9800c4e8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,metagenome
a10f58fc894dee3ffb17cd709d923ccd,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,uncultured_bacterium
6946f01c84b3043b0a80a04246d97c80,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,wastewater_metagenome
b8c2d402b2f7e5745068056f73f37826,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Berkiella,metagenome
4ce015a4bea5eb3729c984a63d3e84c6,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,Unassigned
38da4490a9054e5ec2ab7b56a889fc29,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,Bacteroidetes_bacterium
37210ef538ee3a49cdd92e50c13f0b9e,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Unassigned
3e0df74da0fce5f0761c133a519e0a29,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,uncultured_Gemmatimonadetes
827dccb1e71cbf6eb17412d1d5aac760,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_nitritireducens
6393ee11ef1ee5359c82f74090e559ac,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,uncultured_bacterium
0fba2ffd57356797d98e5341993ed531,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Bacteroidetes_bacterium
7fa326f8e54554f0d6d2ce3e4a8427e8,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,metagenome
1fc4844328d2d3558b49936a20d09065,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured_Flexibacter
d872c2b4969b87430d124748751a0629,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,Unassigned
9dd6b6a52fa930355556a84bfc7bf1fc,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
8f49481cc0f22bb70983d364b21c6dbf,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,uncultured_bacterium
942756137665d4ce0dd52e24edabe551,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,uncultured,wastewater_metagenome
68b69194d0d5c8c259cea8a8bc8de0fe,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Unassigned
22e39813d45620c3515209202be10aa5,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Ovatusbacter,uncultured_bacterium
fd40666d40437f7f75f799b1ef54169d,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,metagenome
dfce6b4bdcab46c6f69f5c528609363c,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,uncultured_bacterium
e2591710e85e2fb6e94ace98fce52b31,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobium,uncultured_bacterium
63fd0c6ca6e64cb12dfd91126f55c70e,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobium_sp.
