ASV ID,kingdom,phylum,class,order,family,genus,species
2c641346f6653e457c03b91a99a4b1f8,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,Planctomycetales_bacterium
68600af80542034c90cd873ee38dbc7c,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,Unassigned
061f67d5320ea27074c246d0ddebc718,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,uncultured_bacterium
e8388a2c355cd48af3526410c801a5aa,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacteraceae,uncultured_Acidobacteria
5a3c31008cde5bf001c9bf1ee801af58,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108,uncultured_bacterium
e40eda57b6c0c453b7253b7f1393646d,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,Rhodospirillaceae_bacterium
816e7ab190d1214442c515d6df9b7e1b,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,Unassigned
b9e21e9804b5c9bf120b1d3a0c023732,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,uncultured_bacterium
00e3497089177d4db9abc3ae4e4be0f0,Bacteria,Gemmatimonadota,S0134_terrestrial_group,S0134_terrestrial_group,S0134_terrestrial_group,S0134_terrestrial_group,metagenome
cfe037ac9d51ffd00480317f0398357b,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,metagenome
5e850cc0432c1b30347422983e8adc9b,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,uncultured_Verrucomicrobia
4a0b1b04be7dc69161e08b084578183b,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,uncultured_actinobacterium
217568a1f310e68020d91b98b701c567,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus_Alysiosphaera,uncultured_Alphaproteobacteria
184725c2b78e7d8052cda20ad18460bc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,Unassigned
23016e26ec8a8b46bd746d5cff943c2b,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Unassigned,Unassigned
176f52a638c206ac6263f6a9bfd66c08,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Unassigned,Unassigned
65b4697e5c416fd6f87b18935b3ba71a,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexales,Oligoflexus,uncultured_bacterium
ffee40ed3d196b6b7b6df9460f8751f3,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,metagenome
